# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,ell
2.4773e-16,1.9600e+02
2.4153e-16,1.9700e+02
2.3552e-16,1.9800e+02
2.2968e-16,1.9900e+02
2.2400e-16,2.0000e+02
2.1850e-16,2.0100e+02
2.1315e-16,2.0200e+02
2.0796e-16,2.0300e+02
2.0292e-16,2.0400e+02
1.9802e-16,2.0500e+02
1.9326e-16,2.0600e+02
1.8864e-16,2.0700e+02
1.8415e-16,2.0800e+02
1.7978e-16,2.0900e+02
1.7553e-16,2.1000e+02
1.7141e-16,2.1100e+02
1.6739e-16,2.1200e+02
1.6349e-16,2.1300e+02
1.5969e-16,2.1400e+02
1.5601e-16,2.1500e+02
1.5242e-16,2.1600e+02
1.4892e-16,2.1700e+02
1.4552e-16,2.1800e+02
1.4222e-16,2.1900e+02
1.3900e-16,2.2000e+02
1.3587e-16,2.2100e+02
1.3282e-16,2.2200e+02
1.2985e-16,2.2300e+02
1.2696e-16,2.2400e+02
1.2415e-16,2.2500e+02
1.2140e-16,2.2600e+02
1.1874e-16,2.2700e+02
1.1614e-16,2.2800e+02
1.1360e-16,2.2900e+02
1.1114e-16,2.3000e+02
1.0873e-16,2.3100e+02
1.0639e-16,2.3200e+02
1.0411e-16,2.3300e+02
1.0188e-16,2.3400e+02
9.9712e-17,2.3500e+02
9.7596e-17,2.3600e+02
9.5536e-17,2.3700e+02
9.3525e-17,2.3800e+02
9.1564e-17,2.3900e+02
8.9652e-17,2.4000e+02
8.7787e-17,2.4100e+02
8.5968e-17,2.4200e+02
8.4194e-17,2.4300e+02
8.2461e-17,2.4400e+02
8.0773e-17,2.4500e+02
7.9123e-17,2.4600e+02
7.7514e-17,2.4700e+02
7.5944e-17,2.4800e+02
7.4411e-17,2.4900e+02
7.2914e-17,2.5000e+02
7.1454e-17,2.5100e+02
7.0027e-17,2.5200e+02
6.8633e-17,2.5300e+02
6.7272e-17,2.5400e+02
6.5943e-17,2.5500e+02
6.4645e-17,2.5600e+02
6.3378e-17,2.5700e+02
6.2140e-17,2.5800e+02
6.0930e-17,2.5900e+02
5.9747e-17,2.6000e+02
5.8591e-17,2.6100e+02
5.7463e-17,2.6200e+02
5.6359e-17,2.6300e+02
5.5281e-17,2.6400e+02
5.4228e-17,2.6500e+02
5.3196e-17,2.6600e+02
5.2190e-17,2.6700e+02
5.1205e-17,2.6800e+02
5.0242e-17,2.6900e+02
4.9300e-17,2.7000e+02
4.8380e-17,2.7100e+02
4.7479e-17,2.7200e+02
4.6598e-17,2.7300e+02
4.5737e-17,2.7400e+02
4.4894e-17,2.7500e+02
4.4069e-17,2.7600e+02
4.3262e-17,2.7700e+02
4.2474e-17,2.7800e+02
4.1702e-17,2.7900e+02
4.0946e-17,2.8000e+02
4.0206e-17,2.8100e+02
3.9482e-17,2.8200e+02
3.8774e-17,2.8300e+02
3.8080e-17,2.8400e+02
3.7401e-17,2.8500e+02
3.6736e-17,2.8600e+02
3.6086e-17,2.8700e+02
3.5449e-17,2.8800e+02
3.4824e-17,2.8900e+02
3.4213e-17,2.9000e+02
3.3615e-17,2.9100e+02
3.3029e-17,2.9200e+02
3.2455e-17,2.9300e+02
3.1892e-17,2.9400e+02
3.1341e-17,2.9500e+02
3.0802e-17,2.9600e+02
3.0272e-17,2.9700e+02
2.9754e-17,2.9800e+02
2.9246e-17,2.9900e+02
2.8749e-17,3.0000e+02
2.8261e-17,3.0100e+02
2.7784e-17,3.0200e+02
2.7315e-17,3.0300e+02
2.6855e-17,3.0400e+02
2.6405e-17,3.0500e+02
2.5964e-17,3.0600e+02
2.5532e-17,3.0700e+02
2.5107e-17,3.0800e+02
2.4691e-17,3.0900e+02
2.4283e-17,3.1000e+02
2.3884e-17,3.1100e+02
2.3491e-17,3.1200e+02
2.3107e-17,3.1300e+02
2.2730e-17,3.1400e+02
2.2360e-17,3.1500e+02
2.1996e-17,3.1600e+02
2.1640e-17,3.1700e+02
2.1291e-17,3.1800e+02
2.0949e-17,3.1900e+02
2.0612e-17,3.2000e+02
2.0282e-17,3.2100e+02
1.9959e-17,3.2200e+02
1.9641e-17,3.2300e+02
1.9329e-17,3.2400e+02
1.9024e-17,3.2500e+02
1.8724e-17,3.2600e+02
1.8429e-17,3.2700e+02
1.8139e-17,3.2800e+02
1.7855e-17,3.2900e+02
1.7577e-17,3.3000e+02
1.7303e-17,3.3100e+02
1.7034e-17,3.3200e+02
1.6771e-17,3.3300e+02
1.6512e-17,3.3400e+02
1.6258e-17,3.3500e+02
1.6008e-17,3.3600e+02
1.5763e-17,3.3700e+02
1.5522e-17,3.3800e+02
1.5286e-17,3.3900e+02
1.5053e-17,3.4000e+02
1.4825e-17,3.4100e+02
1.4601e-17,3.4200e+02
1.4381e-17,3.4300e+02
1.4164e-17,3.4400e+02
1.3952e-17,3.4500e+02
1.3743e-17,3.4600e+02
1.3538e-17,3.4700e+02
1.3337e-17,3.4800e+02
1.3139e-17,3.4900e+02
1.2944e-17,3.5000e+02
1.2753e-17,3.5100e+02
1.2565e-17,3.5200e+02
1.2380e-17,3.5300e+02
1.2199e-17,3.5400e+02
1.2020e-17,3.5500e+02
1.1845e-17,3.5600e+02
1.1673e-17,3.5700e+02
1.1503e-17,3.5800e+02
1.1337e-17,3.5900e+02
1.1173e-17,3.6000e+02
1.1012e-17,3.6100e+02
1.0854e-17,3.6200e+02
1.0698e-17,3.6300e+02
1.0545e-17,3.6400e+02
1.0394e-17,3.6500e+02
1.0246e-17,3.6600e+02
1.0101e-17,3.6700e+02
9.9576e-18,3.6800e+02
9.8169e-18,3.6900e+02
9.6787e-18,3.7000e+02
9.5422e-18,3.7100e+02
9.4085e-18,3.7200e+02
