#This file contains the CIB auto-power spectra for different Planck frequencies from \ell=2 to \ell=2000
#First column is \ell, second, third, fourth, fifth and sixth columns are CIB auto power spectra for 217 GHz, 353 GHz, 545 GHz, 857 GHz and 3000 GHz respectively.
# Units for auto power spectra are Jy^2/sr
2.000000000000000000e+00 1.576614711503536341e+02 2.897746357889922365e+03 2.762462665999482488e+04 1.934722974386013520e+05 2.252363794062539004e+06
3.000000000000000000e+00 2.030871362566506093e+02 3.729598298298974896e+03 3.473779143963289971e+04 2.241430328097103338e+05 1.957701774727570824e+06
4.000000000000000000e+00 2.464678473773283827e+02 4.522624653955519534e+03 4.148819714943826693e+04 2.530406701036206505e+05 1.716401320071214577e+06
5.000000000000000000e+00 2.886437607212442344e+02 5.293280345154568749e+03 4.808427938135617296e+04 2.825257161747427308e+05 1.574983189633819042e+06
6.000000000000000000e+00 3.284139175354678173e+02 6.018183421805852959e+03 5.421977655450276507e+04 3.088362623129665153e+05 1.418670226939209737e+06
7.000000000000000000e+00 3.667335509260668687e+02 6.716007432669673108e+03 6.013268694049958140e+04 3.347164948395992978e+05 1.313711416985166259e+06
8.000000000000000000e+00 4.033720684827928267e+02 7.382271561074403508e+03 6.576100817318096233e+04 3.593295475200789515e+05 1.230412379091722891e+06
9.000000000000000000e+00 4.383621552103679164e+02 8.017605036132975329e+03 7.110938875856736558e+04 3.826485066251027165e+05 1.164413977594417520e+06
1.000000000000000000e+01 4.715753709172665253e+02 8.619498267161516196e+03 7.614136899996480497e+04 4.041502463302927790e+05 1.097461907219476765e+06
1.100000000000000000e+01 5.032081468122559613e+02 9.191774200980986279e+03 8.090251135240380245e+04 4.242940991677203565e+05 1.037899969399309368e+06
1.200000000000000000e+01 5.334421987091537858e+02 9.737965050479515412e+03 8.543483398784857127e+04 4.435049825749243610e+05 9.937922792246850440e+05
1.300000000000000000e+01 5.622469925673802891e+02 1.025745878165738941e+04 8.972676719955999579e+04 4.615682873182324693e+05 9.568651841024088208e+05
1.400000000000000000e+01 5.896066662515960388e+02 1.074992147865923471e+04 9.377038058933691354e+04 4.783205343140184996e+05 9.207817013508797390e+05
1.500000000000000000e+01 6.155710798638735923e+02 1.121630523876286134e+04 9.757461343269112695e+04 4.938010783721286571e+05 8.843138166284615872e+05
1.600000000000000000e+01 6.402620404777226213e+02 1.165896500235780695e+04 1.011665078126574372e+05 5.082656589583376772e+05 8.519867500325072324e+05
1.700000000000000000e+01 6.637480911430152446e+02 1.207922238250233204e+04 1.045600663037742925e+05 5.218204874273378518e+05 8.247260246672283392e+05
1.800000000000000000e+01 6.860567020296045939e+02 1.247758519598841121e+04 1.077586163956034143e+05 5.344466106634318130e+05 8.004295024268385023e+05
1.900000000000000000e+01 7.072140325241981600e+02 1.285454720321274908e+04 1.107658114685293403e+05 5.461337755527881673e+05 7.773900333208733937e+05
2.000000000000000000e+01 7.272667901702769768e+02 1.321098718719389581e+04 1.135897253005633829e+05 5.569219516936346190e+05 7.552600584913769271e+05
2.100000000000000000e+01 7.462586668179242224e+02 1.354774475383772915e+04 1.162387967812205461e+05 5.668652927651692880e+05 7.342382940358958440e+05
2.200000000000000000e+01 7.642350558002374328e+02 1.386568131960318897e+04 1.187212493427014415e+05 5.760103554595267633e+05 7.141953781449324451e+05
