# Effective beam window function
# The map is already deconvolved by the pixel window,
# so the window function here is the only correction needed.
Bl,ell
0.97608846,355
0.97595704,356
0.9758248,357
0.9756905,358
0.9755555,359
0.97541875,360
0.975284,361
0.9751477,362
0.9750122,363
0.9748758,364
0.97473985,365
0.97460514,366
0.9744685,367
0.9743321,368
0.9741928,369
0.974056,370
0.9739181,371
0.9737782,372
0.973639,373
0.9734989,374
0.9733576,375
0.9732179,376
0.9730772,377
0.9729359,378
0.97279596,379
0.97265244,380
0.97251034,381
0.9723685,382
0.97222626,383
0.9720829,384
0.9719397,385
0.97179544,386
0.9716526,387
0.9715073,388
0.9713647,389
0.9712196,390
0.9710739,391
0.97092724,392
0.9707807,393
0.97063494,394
0.97048795,395
0.970343,396
0.9701946,397
0.97004735,398
0.9699004,399
0.96975213,400
0.96960396,401
0.9694572,402
0.9693085,403
0.9691616,404
0.96901214,405
0.96886075,406
0.96870923,407
0.9685578,408
0.9684075,409
0.9682573,410
0.9681073,411
0.9679557,412
0.9678051,413
0.96765244,414
0.9674992,415
0.9673477,416
0.96719396,417
0.96704185,418
0.96688867,419
0.96673644,420
0.966581,421
0.9664245,422
0.96627057,423
0.9661152,424
0.9659595,425
0.9658035,426
0.9656466,427
0.96548873,428
0.9653296,429
0.96517056,430
0.96501154,431
0.9648518,432
0.9646928,433
0.9645313,434
0.9643689,435
0.9642058,436
0.9640458,437
0.9638815,438
0.9637203,439
0.96355575,440
0.96339256,441
0.96322715,442
0.96306473,443
0.9629014,444
0.9627371,445
0.96257335,446
0.9624076,447
0.96224296,448
0.9620795,449
0.9619136,450
0.9617492,451
0.9615829,452
0.9614179,453
0.961254,454
0.961089,455
0.96092254,456
0.960757,457
0.9605932,458
0.9604254,459
0.9602581,460
0.9600901,461
0.9599207,462
0.95975125,463
0.95958126,464
0.9594131,465
0.9592431,466
0.95907205,467
0.9589018,468
0.95873016,469
0.9585549,470
0.9583811,471
0.9582089,472
0.9580353,473
0.95785874,474
0.95768136,475
0.9575034,476
0.95732486,477
0.95714724,478
0.95697254,479
0.956796,480
0.9566183,481
0.9564408,482
0.95626086,483
0.9560806,484
0.95590115,485
0.95572096,486
0.95554197,487
0.9553625,488
0.95518345,489
0.95500344,490
0.9548252,491
0.95464396,492
0.9544645,493
0.95428425,494
0.95410323,495
0.95392203,496
0.953741,497
0.95356023,498
0.95338017,499
0.9531985,500
0.95301735,501
0.9528346,502
0.952656,503
0.9524747,504
0.95228916,505
0.9521042,506
0.9519197,507
0.9517332,508
0.9515484,509
0.95136464,510
0.95118123,511
0.9509951,512
0.9508113,513
0.9506272,514
0.95044225,515
0.9502546,516
0.9500696,517
0.9498843,518
0.9496951,519
0.9495033,520
0.9493144,521
0.9491247,522
0.94892925,523
0.94873714,524
0.94854593,525
0.948356,526
0.94816583,527
0.9479733,528
0.94778055,529
0.9475833,530
0.94738895,531
0.9471944,532
0.94699705,533
0.9468011,534
0.94660395,535
0.94640493,536
0.9462105,537
0.94601655,538
0.94581705,539
0.9456186,540
0.9454214,541
0.94522005,542
0.9450211,543
0.9448211,544
0.9446211,545
0.94442075,546
0.9442192,547
0.9440169,548
0.9438168,549
0.94361484,550
0.9434118,551
0.94320846,552
0.94301003,553
0.94280714,554
0.94260377,555
0.94240576,556
0.9422064,557
0.9420058,558
0.94180906,559
0.9416086,560
0.9414104,561
0.94121045,562
0.9410115,563
0.94081056,564
0.9406112,565
0.9404098,566
0.94020826,567
0.9400043,568
0.9397972,569
0.9395934,570
0.9393901,571
0.93918526,572
0.9389797,573
0.9387767,574
0.93857175,575
0.9383643,576
0.9381562,577
0.9379481,578
0.93774235,579
0.93753314,580
0.93732303,581
0.9371126,582
0.9369032,583
0.936694,584
0.9364832,585
0.9362744,586
0.93606627,587
0.9358571,588
0.93564373,589
0.93543595,590
0.93522537,591
0.9350121,592
0.9348022,593
0.93459153,594
0.93437904,595
0.9341628,596
0.9339487,597
0.93373543,598
0.9335254,599
0.933311,600
0.9330968,601
0.93288505,602
0.9326732,603
0.93245906,604
0.932244,605
0.9320315,606
0.93181354,607
0.93159527,608
0.93137914,609
0.93116325,610
0.93094933,611
0.9307286,612
0.9305091,613
0.93029124,614
0.93007356,615
0.9298545,616
0.92963374,617
0.92941207,618
0.92919016,619
0.9289686,620
0.9287477,621
0.9285256,622
0.92830354,623
0.92807794,624
0.9278556,625
0.92763156,626
0.92740786,627
0.92718446,628
0.9269628,629
0.9267379,630
0.9265157,631
0.92629206,632
0.9260691,633
0.9258449,634
0.92562187,635
0.9254017,636
0.925179,637
0.92495835,638
0.92473567,639
0.9245142,640
0.92428815,641
0.9240646,642
0.9238437,643
0.92361736,644
0.92339295,645
0.9231671,646
0.92294306,647
0.92271847,648
0.92249626,649
0.9222657,650
0.9220356,651
0.92180765,652
0.92157644,653
0.92134976,654
0.9211185,655
0.92088753,656
0.92065513,657
0.92042613,658
0.9201961,659
0.91997004,660
0.9197385,661
0.91950214,662
0.9192706,663
0.9190393,664
0.918804,665
0.91856736,666
0.9183302,667
0.9180957,668
0.9178617,669
0.9176256,670
0.9173905,671
0.91715354,672
0.9169186,673
0.91668344,674
0.9164508,675
0.91621375,676
0.9159775,677
0.9157404,678
0.91550237,679
0.9152628,680
0.9150243,681
0.9147831,682
0.9145438,683
0.91430444,684
0.9140653,685
0.91382587,686
0.91358465,687
0.9133451,688
0.9131038,689
0.9128634,690
0.912623,691
0.91238445,692
0.91214466,693
0.9119008,694
0.9116604,695
0.91141474,696
0.9111728,697
0.9109314,698
0.91068566,699
0.91043746,700
0.91019875,701
0.90995926,702
0.9097134,703
0.9094709,704
0.9092255,705
0.90898323,706
0.90874153,707
0.9084965,708
0.9082512,709
0.9080042,710
0.9077541,711
0.9075109,712
0.90726686,713
0.90702105,714
0.90677,715
0.9065236,716
0.906277,717
0.9060316,718
0.90578693,719
0.90553945,720
0.90529376,721
0.90504676,722
0.9048003,723
0.9045475,724
0.90429765,725
0.9040463,726
0.90379506,727
0.903545,728
0.90329343,729
0.90304375,730
0.90278715,731
0.90253603,732
0.90228117,733
0.9020284,734
