# Effective beam window function
Bl,ell
1.0,0
1.0,1
1.0,2
1.0,3
1.0,4
1.0,5
1.0,6
1.0,7
1.0,8
1.0,9
1.0,10
1.0,11
1.0,12
1.0,13
1.0,14
1.0,15
1.0,16
1.0,17
1.0,18
1.0,19
1.0,20
1.0,21
1.0,22
1.0,23
1.0,24
1.0,25
1.0,26
1.0,27
1.0,28
1.0,29
1.0,30
1.0,31
1.0,32
1.0,33
1.0,34
1.0,35
1.0,36
1.0,37
1.0,38
1.0,39
1.0,40
1.0,41
1.0,42
1.0,43
0.9999995231628418,44
0.9999696016311646,45
0.9999396204948425,46
0.9999138712882996,47
0.9998875260353088,48
0.9998566508293152,49
0.9998254179954529,50
0.9998003244400024,51
0.9997739195823669,52
0.9997441172599792,53
0.999711275100708,54
0.99968022108078,55
0.9996519684791565,56
0.999622106552124,57
0.999590277671814,58
0.9995588064193726,59
0.9995291829109192,60
0.999499499797821,61
0.9994668960571289,62
0.9994329810142517,63
0.9994007349014282,64
0.9993690252304077,65
0.9993377327919006,66
0.9993048906326294,67
0.9992741346359253,68
0.9992430210113525,69
0.9992106556892395,70
0.9991760849952698,71
0.9991416335105896,72
0.9991087913513184,73
0.9990761876106262,74
0.9990420937538147,75
0.9990083575248718,76
0.9989761114120483,77
0.9989432096481323,78
0.9989089965820312,79
0.9988747239112854,80
0.9988394975662231,81
0.9988035559654236,82
0.9987680912017822,83
0.9987308382987976,84
0.9986947178840637,85
0.9986579418182373,86
0.9986199736595154,87
0.9985818266868591,88
0.9985417723655701,89
0.9985033273696899,90
0.9984622001647949,91
0.9984204769134521,92
0.9983797073364258,93
0.9983388185501099,94
0.9982971549034119,95
0.9982557892799377,96
0.9982131719589233,97
0.9981715679168701,98
0.9981295466423035,99
0.9980869293212891,100
0.998044490814209,101
0.9980010986328125,102
0.9979581832885742,103
0.997914731502533,104
0.9978708028793335,105
0.9978252053260803,106
0.9977814555168152,107
0.9977384209632874,108
0.9976941347122192,109
0.9976489543914795,110
0.9976052045822144,111
0.997559130191803,112
0.9975134134292603,113
0.9974668025970459,114
0.9974190592765808,115
0.9973730444908142,116
0.9973256587982178,117
0.9972774386405945,118
0.9972296357154846,119
0.9971823692321777,120
0.9971338510513306,121
0.9970850348472595,122
0.9970354437828064,123
0.9969871044158936,124
0.9969375729560852,125
0.9968875646591187,126
0.9968381524085999,127
0.9967881441116333,128
0.996737539768219,129
0.9966872334480286,130
0.9966357946395874,131
0.9965828657150269,132
0.9965308904647827,133
0.9964774250984192,134
0.9964239001274109,135
0.9963688254356384,136
0.9963147640228271,137
0.9962618947029114,138
0.9962087273597717,139
0.996154248714447,140
0.9960975050926208,141
0.9960412979125977,142
0.995984673500061,143
0.995927631855011,144
0.9958698749542236,145
0.9958125352859497,146
0.9957553148269653,147
0.9956986904144287,148
0.9956408739089966,149
0.9955828189849854,150
0.995525062084198,151
0.9954655766487122,152
0.9954056739807129,153
0.9953455924987793,154
0.9952855110168457,155
0.9952250123023987,156
0.9951656460762024,157
0.9951052069664001,158
0.9950445294380188,159
0.9949833750724792,160
0.9949226379394531,161
0.9948591589927673,162
0.9947962164878845,163
0.994732677936554,164
0.9946697950363159,165
0.9946085810661316,166
0.9945443272590637,167
0.9944799542427063,168
0.9944145679473877,169
0.994347870349884,170
0.9942818880081177,171
0.99421626329422,172
0.9941508769989014,173
0.9940848350524902,174
0.9940181970596313,175
0.9939504265785217,176
0.9938831925392151,177
0.9938149452209473,178
0.9937460422515869,179
0.99367755651474,180
0.9936079382896423,181
0.9935373663902283,182
0.9934666752815247,183
0.9933955073356628,184
0.9933261871337891,185
0.993258535861969,186
0.9931902885437012,187
0.9931207895278931,188
0.9930490851402283,189
0.9929766058921814,190
0.9929046034812927,191
0.992832601070404,192
0.9927601218223572,193
0.9926866292953491,194
0.9926155805587769,195
0.9925419092178345,196
0.9924675822257996,197
0.9923929572105408,198
0.992318332195282,199
0.9922420978546143,200
0.9921666979789734,201
0.9920914769172668,202
0.9920159578323364,203
0.991937518119812,204
0.9918615221977234,205
0.9917840957641602,206
0.9917070269584656,207
0.9916290044784546,208
0.9915503859519958,209
0.9914717078208923,210
0.9913926124572754,211
0.9913118481636047,212
0.9912298321723938,213
0.9911513328552246,214
0.9910693764686584,215
0.9909881353378296,216
0.99090576171875,217
0.9908234477043152,218
0.9907407164573669,219
0.9906579256057739,220
0.9905757904052734,221
0.9904915690422058,222
0.9904071092605591,223
0.9903224110603333,224
0.9902361035346985,225
0.9901518821716309,226
0.9900655150413513,227
0.9899788498878479,228
0.9898927211761475,229
0.9898066520690918,230
0.9897187948226929,231
0.9896327257156372,232
0.9895453453063965,233
0.989460289478302,234
0.9893736839294434,235
0.9892873167991638,236
0.9891977906227112,237
0.9891089797019958,238
0.9890196323394775,239
0.9889301061630249,240
0.9888401031494141,241
0.9887475371360779,242
0.9886557459831238,243
0.9885655045509338,244
0.9884752631187439,245
0.9883809089660645,246
0.988288164138794,247
0.9881952404975891,248
0.9881040453910828,249
0.9880104660987854,250
0.9879154562950134,251
0.9878225922584534,252
0.9877261519432068,253
0.9876295328140259,254
0.987532913684845,255
0.9874362945556641,256
0.9873406291007996,257
0.9872426390647888,258
0.987145185470581,259
0.9870458245277405,260
0.9869459271430969,261
0.986846387386322,262
0.9867470264434814,263
0.9866484999656677,264
0.986545741558075,265
0.9864465594291687,266
0.9863460659980774,267
0.9862446784973145,268
0.9861415028572083,269
0.986038327217102,270
0.9859341979026794,271
0.9858309626579285,272
0.9857280254364014,273
0.9856249690055847,274
0.9855207204818726,275
0.985417366027832,276
0.9853116869926453,277
0.985207736492157,278
0.9851054549217224,279
0.985000491142273,280
0.9848963022232056,281
0.9847928285598755,282
0.9846856594085693,283
0.9845803380012512,284
0.9844732284545898,285
0.9843672513961792,286
0.9842599034309387,287
0.9841532111167908,288
0.9840445518493652,289
0.9839368462562561,290
0.9838273525238037,291
0.9837165474891663,292
0.9836086630821228,293
0.9835001826286316,294
0.9833892583847046,295
0.983278751373291,296
0.9831694960594177,297
0.9830580949783325,298
0.982949435710907,299
0.982836902141571,300
0.9827234148979187,301
0.9826105237007141,302
0.9824942946434021,303
0.9823803305625916,304
0.9822661876678467,305
0.9821507334709167,306
0.982033371925354,307
0.9819137454032898,308
0.9817966818809509,309
0.9816786050796509,310
0.981559693813324,311
0.9814407229423523,312
0.9813214540481567,313
0.9812005758285522,314
0.9810787439346313,315
0.9809602499008179,316
0.980842113494873,317
0.9807224273681641,318
0.9806031584739685,319
0.980480968952179,320
0.980356752872467,321
0.9802370071411133,322
0.9801177382469177,323
0.9799960851669312,324
0.9798737168312073,325
0.979750394821167,326
0.9796295166015625,327
0.9795074462890625,328
0.9793863296508789,329
0.979263186454773,330
0.9791374802589417,331
0.9790123701095581,332
0.9788864254951477,333
0.9787614345550537,334
0.9786362051963806,335
0.9785123467445374,336
0.978384792804718,337
0.9782587885856628,338
0.9781321883201599,339
0.9780057072639465,340
0.9778788089752197,341
0.9777530431747437,342
0.9776266813278198,343
0.9774989485740662,344
0.9773704409599304,345
0.9772441387176514,346
0.977116584777832,347
0.9769875407218933,348
0.976858377456665,349
0.9767282009124756,350
0.9765951633453369,351
0.9764640927314758,352
0.9763329029083252,353
0.9762017130851746,354
0.9760687351226807,355
0.9759356379508972,356
0.9758021235466003,357
0.9756653308868408,358
0.9755327701568604,359
0.9753968715667725,360
0.97525954246521,361
0.9751240015029907,362
0.974989116191864,363
0.9748533964157104,364
0.9747177362442017,365
0.974582314491272,366
0.9744452238082886,367
0.9743070006370544,368
0.9741666913032532,369
0.9740235209465027,370
0.9738852977752686,371
0.9737473130226135,372
0.9736050963401794,373
0.9734625220298767,374
0.9733215570449829,375
0.9731804132461548,376
0.9730383157730103,377
0.9728957414627075,378
0.9727524518966675,379
0.9726088643074036,380
0.972464382648468,381
0.9723222851753235,382
0.9721786975860596,383
0.9720344543457031,384
0.9718922972679138,385
0.9717491269111633,386
0.9716039299964905,387
0.971461296081543,388
0.9713157415390015,389
0.9711698889732361,390
0.9710244536399841,391
0.9708774089813232,392
0.9707305431365967,393
0.9705830216407776,394
0.9704381823539734,395
