# Binned CIBxCMB lensing power spectra
# Lensing potential phi is used (not kappa)
# Units are Jy
dl3Cl_353,dl3Cl_545,dl3Cl_857,ell,l3Cl_353,l3Cl_545,l3Cl_857
0.8477411322003461,1.8584032560108725,2.9402879019740187,32.0,1.0906768974194558,2.4259290271917733,3.9690858464296954
1.0367540803862862,2.484052617198759,4.038244578976913,96.0,4.10106803511049,10.068057413304192,16.17821578689046
0.6115859106022354,1.559173705550334,2.7398912557339297,160.0,5.312323408698336,13.376077280378418,21.881021668768305
0.6171844382459445,1.5302836314272876,2.801524980443823,224.0,6.017387138691877,15.192111715885561,24.590070502416793
0.9537690495431111,2.575824670444106,4.954473407422016,288.0,5.854126903558579,14.996265423619693,24.820263714164213
0.7317809881743692,1.909760202287986,3.3696505042719243,352.0,5.664233883542927,14.711739545016076,24.686817885837733
0.5738935790730426,1.4993679469769752,2.787465913331778,416.0,5.021884726424479,13.295420755089653,23.428680279807285
0.7877021478584849,2.093283871495245,4.149114105671575,480.0,4.356785057055301,11.711860599880076,20.779978718675025
0.640951872889117,1.6926261368090283,3.078055576064401,544.0,4.293959324357582,11.560145858437162,20.780570513343818
0.5325390351964735,1.4283117277479251,2.622950624738263,608.0,4.170211814364496,11.27971661816012,20.538378148816246
0.8733287580048149,2.3392330351198085,4.415275729742315,672.0,3.6400643399010044,9.905456394288258,18.61759648798304
0.5278845261450331,1.4977423070084637,3.0520781744811285,736.0,3.341034587453751,9.198504382434102,17.402168792147094
0.6681575621917978,1.890930423732614,4.000447060492128,800.0,3.0684326929191847,8.471296085883317,15.887695778397232
0.6768472948312889,1.937260338570133,4.22007783608267,864.0,3.09403206574195,8.555407372983463,16.596538807678503
0.9138838735947848,2.5094175628608157,4.81990523805724,928.0,2.990400080828208,8.234230933386065,16.027213002215884
0.6430858314979294,1.771162122338182,3.608587047861357,992.0,2.570624840604907,7.191434801691034,14.207636022420319
1.0296363193538902,2.8959563578785392,5.882046490027698,1055.5,2.4487011012810873,6.811596089237981,13.335097322219701
0.8219594162688593,2.2711035663777444,4.64327067014796,1119.0,2.03547676978674,5.730057219881058,11.75897490531964
0.7557318765792334,2.059594937088943,4.040532473646001,1183.0,2.3593057806049,6.659802457490095,13.804263768767044
0.5856683507957965,1.6662647258623335,3.703342999506117,1247.0,2.5609380740337313,7.229467169925774,15.07786382600283
1.1180368732310566,3.222464352511687,6.712731565663169,1311.0,2.86024479568096,8.08058515246702,16.6779443423614
0.9564270606686068,2.718254107796883,5.687002867262923,1375.0,2.3143189330241585,6.6038174504538105,13.54087872665069
0.9896825798198434,2.778966548024766,5.989926467434084,1439.0,1.8488124186251436,5.240329819705499,11.59733093121195
1.0946653164235292,3.147490764640268,6.789657837648695,1503.0,2.3890093648799353,6.738711270547054,14.120801647119276
0.8753633026864674,2.4659477582268554,5.295736872602291,1567.0,1.859126838011468,5.352104080608608,11.470032157185393
1.4814058779072061,4.180974951017113,8.832763793068617,1631.0,1.6224853980200056,4.559072894920714,9.797434624952569
0.8639480492893707,2.458543171185826,5.6480979633539325,1695.0,2.551027749377643,7.232238191148248,15.394077161704454
1.1962265317022833,3.356616773004844,7.349413391285304,1759.0,1.9696528163855902,5.467257281148367,11.657902808298275
0.9238895742025764,2.5633114520481293,5.522629596404378,1823.0,1.4553543960204367,4.31435120142126,9.33734615209269
1.57531728763394,4.508230303622634,9.867825484292467,1887.0,1.5803659685966744,4.431562980698307,10.106483770589007
1.2376481227903187,3.5919896478745557,8.43841387929984,1951.0,1.9575690474921643,5.648649591166226,12.644744682871533
1.4775966773147324,4.058107266092525,9.200323886349713,2015.0,2.4485439663250856,7.007586941644254,15.75565920432957
