# First column is ells
#rest of the columns are ell^3C_ell for CIBxPhi for 100, 143, 217, 353, 545, 857 GHz respectively in Jy/sr
1.000000000000000000e+00 3.839897561669544093e-04 7.973201700303153647e-04 3.165132606831870532e-03 1.376221377266412249e-02 4.547372917827845196e-02 1.321135249406985013e-01
2.000000000000000000e+00 1.145126849271841437e-03 2.496590124285333681e-03 1.012063051429283080e-02 4.383745349872616298e-02 1.420934886912166295e-01 3.948348283494833022e-01
3.000000000000000000e+00 2.157083667806923219e-03 4.853448977331659836e-03 1.992422434728817471e-02 8.606624837040141585e-02 2.753812970345229094e-01 7.420090782493118375e-01
4.000000000000000000e+00 3.384639808600323034e-03 7.785168059147555206e-03 3.222761409459526383e-02 1.389170077254835989e-01 4.402507689694717397e-01 1.159374518682901645e+00
5.000000000000000000e+00 4.809791897836228000e-03 1.124141497671320503e-02 4.680588767169473197e-02 2.014059976211795000e-01 6.335659997186656733e-01 1.639145217970825685e+00
6.000000000000000000e+00 6.391865376770562712e-03 1.513587325648254461e-02 6.331190752230946017e-02 2.720115290471691871e-01 8.502375011941678551e-01 2.166561863904167939e+00
7.000000000000000000e+00 8.129860504655965492e-03 1.945125584068671185e-02 8.164890828475018791e-02 3.503190478992518342e-01 1.089139854683472075e+00 2.740359218119218898e+00
8.000000000000000000e+00 1.000591725317520955e-02 2.414322211368836665e-02 1.016273855403421189e-01 4.355049487782665096e-01 1.347657078640873474e+00 3.353934260053550442e+00
9.000000000000000000e+00 1.200231598403917084e-02 2.916871190220608756e-02 1.230647917472484087e-01 5.267760289777105864e-01 1.623267415663990132e+00 4.000863178179566049e+00
1.000000000000000000e+01 1.409901101960963840e-02 3.448192341117065768e-02 1.457717051688487697e-01 6.233092355639431315e-01 1.913323464331295964e+00 4.674122594665513830e+00
1.100000000000000000e+01 1.629016907200598469e-02 4.006220706628402933e-02 1.696507999547013923e-01 7.246880280120965301e-01 2.216623182676526582e+00 5.371535936055360949e+00
1.200000000000000000e+01 1.857265807633047550e-02 4.589427216107205831e-02 1.946257011308000218e-01 8.305884168119683775e-01 2.532283756170339295e+00 6.091916322896663516e+00
1.300000000000000000e+01 2.093252322935049842e-02 5.194516949694830132e-02 2.205585706195915541e-01 9.404144775730469696e-01 2.858429912610572998e+00 6.830520635250319827e+00
1.400000000000000000e+01 2.335488099419397515e-02 5.818092356300006568e-02 2.473092076829243313e-01 1.053559513668378411e+00 3.193133510472113024e+00 7.582329761554245096e+00
1.500000000000000000e+01 2.583078731016641080e-02 6.457837081112494104e-02 2.747776434722773997e-01 1.169594314064981377e+00 3.535093211930305124e+00 8.344384539682053514e+00
1.600000000000000000e+01 2.835801169799144136e-02 7.112644837327614100e-02 3.029086899008431311e-01 1.288287145790356858e+00 3.883703539977361618e+00 9.116017352113104266e+00
1.700000000000000000e+01 3.093182611876000784e-02 7.781016355228569104e-02 3.316338543348287815e-01 1.409347626290157196e+00 4.238141431994492336e+00 9.895750352084325741e+00
1.800000000000000000e+01 3.354425112805443226e-02 8.460952443748900875e-02 3.608679260445451509e-01 1.532410438658528662e+00 4.597298558278475333e+00 1.068102448608271260e+01
1.900000000000000000e+01 3.618707122725948327e-02 9.150443560124110753e-02 3.905260539224900129e-01 1.657112393925872507e+00 4.960071037382186354e+00 1.146924304964556640e+01
2.000000000000000000e+01 3.885417092639999181e-02 9.847900952567194277e-02 4.205397644701804882e-01 1.783161115553946630e+00 5.325588116724985888e+00 1.225849781045442199e+01
2.100000000000000000e+01 4.154031227466296883e-02 1.055188340698304944e-01 4.508458602185469455e-01 1.910288605413815066e+00 5.693073306120241206e+00 1.304721336223078865e+01
2.200000000000000000e+01 4.424143248082353097e-02 1.126122562166869956e-01 4.813927314070139962e-01 2.038277153524342022e+00 6.061909831985708763e+00 1.383423159510686773e+01
2.300000000000000000e+01 4.695396046965093911e-02 1.197486131003324544e-01 5.121326168677717838e-01 2.166925725908123823e+00 6.431539863676195345e+00 1.461857940346553164e+01
2.400000000000000000e+01 4.967438602076969245e-02 1.269173278738489063e-01 5.430179856931505178e-01 2.296034356706711854e+00 6.801405029523568402e+00 1.539926467819168998e+01
2.500000000000000000e+01 5.239969566161364195e-02 1.341094708314826411e-01 5.740090401169017920e-01 2.425436241881917532e+00 7.171047203106385659e+00 1.617550834652196556e+01
2.600000000000000000e+01 5.512520537399649700e-02 1.413130481127105320e-01 6.050545113384857565e-01 2.554914676894293635e+00 7.539834329413357850e+00 1.694595276035262188e+01
2.700000000000000000e+01 5.784639475818996457e-02 1.485168260427222053e-01 6.361068476656057680e-01 2.684268012666854109e+00 7.907174934239341368e+00 1.770930176285038016e+01
2.800000000000000000e+01 6.055963874058131052e-02 1.557113491185560250e-01 6.671254607677952198e-01 2.813325661052798132e+00 8.272584275014507327e+00 1.846457814416688237e+01
2.900000000000000000e+01 6.326245402954679131e-02 1.628890543151436943e-01 6.980764162386488003e-01 2.941946414777746988e+00 8.635684599554791063e+00 1.921118174957763713e+01
3.000000000000000000e+01 6.595337803632134177e-02 1.700447041264896708e-01 7.289353711175273753e-01 3.070031015589745227e+00 8.996235698889913479e+00 1.994888583084183509e+01
3.100000000000000000e+01 6.863040687689432595e-02 1.771721292349605070e-01 7.596745870703230930e-01 3.197464039605954600e+00 9.353933327638426221e+00 2.067723727210459828e+01
3.200000000000000000e+01 7.129092023058679339e-02 1.842639001843088820e-01 7.902613952415338261e-01 3.324109126250051283e+00 9.708400633006906588e+00 2.139555854658141953e+01
